,id,country,signup_date,message_count,call_count,search_count
110,10000110,IT,2019-03-26,0,22,18
111,10000111,FR,2019-03-03,0,48,20
112,10000112,IT,2019-03-07,0,94,43
113,10000113,IT,2019-03-30,0,22,44
114,10000114,SE,2019-03-09,5,20,24
115,10000115,SE,2019-03-05,1,1,383
116,10000116,IT,2019-03-24,2,30,35
117,10000117,GB,2019-03-26,1,44,36
118,10000118,IT,2019-03-09,0,59,38
119,10000119,IT,2019-03-22,0,19,28
120,10000120,IT,2019-03-26,0,79,35
121,10000121,IT,2019-03-05,0,90,37
122,10000122,SE,2019-03-14,3,1,17
123,10000123,IT,2019-03-29,0,62,29
124,10000124,IT,2019-03-12,0,42,2
125,10000125,SE,2019-03-19,3,5,7
126,10000126,GB,2019-03-29,0,42,39
127,10000127,SE,2019-03-18,0,14,17
128,10000128,IT,2019-03-19,0,0,26
129,10000129,IT,2019-03-03,0,83,45
130,10000130,GB,2019-03-07,0,98,40
131,10000131,GB,2019-03-03,0,222,33
132,10000132,FR,2019-03-29,0,20,28
133,10000133,ES,2019-03-16,0,0,30
134,10000134,GB,2019-03-29,0,72,35
135,10000135,IT,2019-04-02,0,184,30
136,10000136,GB,2019-03-28,0,100,30
137,10000137,IT,2019-03-25,0,24,30
138,10000138,SE,2019-03-13,54,130,35
139,10000139,FR,2019-03-19,0,91,22
140,10000140,GB,2019-03-27,0,46,39
141,10000141,SE,2019-03-08,0,59,11
142,10000142,IT,2019-03-12,0,2,306
143,10000143,ES,2019-03-22,3,79,29
144,10000144,GB,2019-03-27,0,19,29
145,10000145,ES,2019-03-18,0,8,29
146,10000146,GB,2019-03-02,0,41,8
147,10000147,SE,2019-03-21,0,23,38
148,10000148,GB,2019-03-12,0,30,28
149,10000149,IT,2019-03-20,0,147,42
150,10000150,IT,2019-03-11,0,38,32
151,10000151,GB,2019-03-11,0,17,17
152,10000152,SE,2019-03-22,0,17,37
153,10000153,IT,2019-03-29,0,44,26
154,10000154,IT,2019-03-19,0,33,37
155,10000155,GB,2019-03-14,0,1341,32
156,10000156,IT,2019-03-20,14,11,14
157,10000157,IT,2019-03-28,2,0,12
158,10000158,ES,2019-03-10,0,0,30
159,10000159,SE,2019-03-06,0,51,36
160,10000160,SE,2019-03-24,0,121,30
161,10000161,ES,2019-03-06,1,2,270
162,10000162,ES,2019-03-07,1,28,26
163,10000163,IT,2019-03-06,0,123,20
164,10000164,IT,2019-03-21,0,42,23
165,10000165,ES,2019-03-14,0,12,20
166,10000166,GB,2019-03-23,3,19,32
167,10000167,IT,2019-03-24,0,77,24
168,10000168,SE,2019-03-13,0,40,25
169,10000169,ES,2019-03-05,0,12,35
170,10000170,GB,2019-03-11,3,1,6
171,10000171,ES,2019-03-31,0,30,15
172,10000172,SE,2019-03-14,0,28,38
173,10000173,ES,2019-03-21,0,22,11
174,10000174,ES,2019-03-09,0,36,32
175,10000175,SE,2019-03-29,1,65,40
176,10000176,GB,2019-03-19,0,9,18
177,10000177,SE,2019-03-13,0,35,33
178,10000178,IT,2019-03-27,1,22,40
179,10000179,GB,2019-03-18,4,8,20
180,10000180,FR,2019-04-01,17,2,36
181,10000181,GB,2019-03-19,0,53,40
182,10000182,GB,2019-03-20,1,13,20
183,10000183,IT,2019-04-01,0,22,7
184,10000184,SE,2019-03-26,0,17,28
185,10000185,IT,2019-03-15,2,34,6
186,10000186,ES,2019-03-23,0,51,29
187,10000187,GB,2019-03-13,0,54,19
188,10000188,SE,2019-03-14,0,45,36
189,10000189,SE,2019-03-25,2,6,26
190,10000190,GB,2019-04-01,0,48,36
191,10000191,GB,2019-03-25,93,15,18
192,10000192,SE,2019-03-13,0,220,32
193,10000193,GB,2019-03-14,0,19,20
194,10000194,IT,2019-03-30,0,62,23
195,10000195,GB,2019-03-19,0,32,31
196,10000196,IT,2019-03-04,0,18,38
197,10000197,IT,2019-03-24,10,12,26
198,10000198,GB,2019-03-03,0,54,31
199,10000199,SE,2019-03-21,0,155,14
200,10000200,SE,2019-03-09,3,83,28
201,10000201,GB,2019-03-09,0,10,14
202,10000202,IT,2019-03-28,0,122,40
203,10000203,SE,2019-03-16,0,28,39
204,10000204,ES,2019-03-21,0,30,28
205,10000205,IT,2019-03-29,2,5,17
206,10000206,IT,2019-03-26,0,109,44
207,10000207,FR,2019-03-07,0,21,19
208,10000208,IT,2019-03-14,0,33,13
209,10000209,GB,2019-03-14,0,52,25
210,10000210,IT,2019-03-15,10,9,37
211,10000211,FR,2019-04-02,5,20,14
212,10000212,FR,2019-03-28,0,41,38
213,10000213,FR,2019-03-21,0,12,16
214,10000214,IT,2019-03-30,0,0,20
215,10000215,IT,2019-03-06,4,19,24
216,10000216,GB,2019-03-02,2,1,3
217,10000217,IT,2019-03-20,0,292,45
218,10000218,ES,2019-03-29,0,10,33
219,10000219,IT,2019-03-27,0,31,23
220,10000220,SE,2019-03-30,0,25,26
221,10000221,SE,2019-03-26,0,72,25
222,10000222,IT,2019-03-11,0,161,41
223,10000223,IT,2019-03-20,1,142,8
224,10000224,IT,2019-03-23,1,53,45
225,10000225,IT,2019-03-18,0,72,25
226,10000226,SE,2019-03-04,0,65,29
227,10000227,SE,2019-03-22,3,26,37
228,10000228,FR,2019-04-02,0,11,27
229,10000229,IT,2019-03-25,0,78,22
230,10000230,IT,2019-03-12,0,27,36
231,10000231,GB,2019-03-24,0,188,35
232,10000232,IT,2019-03-12,0,51,15
233,10000233,IT,2019-03-22,0,30,13
234,10000234,GB,2019-03-28,0,92,26
235,10000235,SE,2019-04-01,0,23,22
236,10000236,SE,2019-04-02,0,22,32
237,10000237,GB,2019-03-17,0,80,38
238,10000238,IT,2019-03-12,0,60,36
239,10000239,GB,2019-03-18,5,24,20
240,10000240,IT,2019-03-13,0,229,31
241,10000241,SE,2019-03-15,0,19,30
242,10000242,GB,2019-03-22,10,171,26
243,10000243,GB,2019-03-22,6,55,13
244,10000244,SE,2019-03-19,0,15,32
245,10000245,IT,2019-03-29,0,24,13
246,10000246,FR,2019-03-06,0,38,32
247,10000247,IT,2019-03-14,0,76,28
248,10000248,IT,2019-03-14,0,226,17
249,10000249,IT,2019-03-27,3,10,22
250,10000250,IT,2019-03-22,0,26,39
251,10000251,IT,2019-03-28,2,60,24
252,10000252,GB,2019-03-26,14,7,40
253,10000253,IT,2019-03-21,0,163,42
254,10000254,GB,2019-03-08,0,49,39
255,10000255,IT,2019-03-15,0,81,44
256,10000256,SE,2019-03-23,0,53,13
257,10000257,IT,2019-03-12,0,85,33
258,10000258,SE,2019-03-23,0,17,17
259,10000259,SE,2019-03-19,0,42,40
260,10000260,ES,2019-03-09,0,0,30
261,10000261,GB,2019-03-27,3,17,26
262,10000262,IT,2019-03-28,0,177,22
263,10000263,IT,2019-03-28,0,58,29
264,10000264,IT,2019-03-19,0,35,42
265,10000265,ES,2019-03-16,9,25,38
266,10000266,IT,2019-03-22,0,27,39
267,10000267,IT,2019-03-25,0,172,34
268,10000268,IT,2019-03-27,0,126,16
269,10000269,FR,2019-03-18,1,14,36
270,10000270,IT,2019-03-17,10,28,35
271,10000271,IT,2019-03-23,0,81,25
272,10000272,SE,2019-03-08,0,52,33
273,10000273,IT,2019-03-16,0,65,40
274,10000274,IT,2019-03-30,3,4,34
275,10000275,IT,2019-03-26,0,72,19
276,10000276,IT,2019-03-26,0,55,30
277,10000277,IT,2019-03-18,0,27,22
278,10000278,ES,2019-03-22,0,152,9
279,10000279,GB,2019-04-02,0,13,33
280,10000280,GB,2019-03-23,0,210,26
281,10000281,ES,2019-03-10,1,2,734
282,10000282,ES,2019-03-26,0,8,22
283,10000283,IT,2019-03-27,0,0,21
284,10000284,SE,2019-03-22,5,0,4
285,10000285,ES,2019-04-01,1,33,36
286,10000286,SE,2019-03-03,0,147,32
287,10000287,GB,2019-03-10,0,10,32
288,10000288,IT,2019-03-18,2,10,42
289,10000289,SE,2019-03-12,0,29,19
290,10000290,GB,2019-03-31,0,19,28
291,10000291,IT,2019-03-05,10,28,22
292,10000292,GB,2019-03-02,1,22,38
293,10000293,SE,2019-03-13,2,21,33
294,10000294,FR,2019-03-18,0,33,29
295,10000295,IT,2019-03-28,0,20,26
296,10000296,GB,2019-03-20,0,29,5
297,10000297,GB,2019-03-17,294,25,11
298,10000298,ES,2019-03-18,0,63,40
299,10000299,GB,2019-03-05,4,26,34
300,10000300,IT,2019-03-10,0,26,37
301,10000301,IT,2019-03-24,0,98,40
302,10000302,SE,2019-03-05,0,38,23
303,10000303,ES,2019-04-02,0,12,39
304,10000304,GB,2019-03-08,3,1,15
305,10000305,IT,2019-03-19,0,51,14
306,10000306,GB,2019-04-02,0,13,35
307,10000307,IT,2019-03-14,2,5,26
308,10000308,SE,2019-03-31,0,203,32
309,10000309,IT,2019-03-31,4,49,29
310,10000310,SE,2019-03-18,0,28,19
311,10000311,IT,2019-03-27,0,55,30
312,10000312,GB,2019-03-13,43,41,38
313,10000313,IT,2019-03-21,0,70,18
314,10000314,IT,2019-03-26,1,70,33
315,10000315,IT,2019-03-24,0,0,22
316,10000316,IT,2019-03-26,0,86,40
317,10000317,SE,2019-03-07,2,8,39
318,10000318,IT,2019-03-22,2,38,27
319,10000319,IT,2019-03-26,0,24,42
320,10000320,IT,2019-03-05,0,82,39
321,10000321,IT,2019-03-31,0,51,20
322,10000322,IT,2019-03-31,0,32,6
323,10000323,IT,2019-03-23,0,35,45
324,10000324,IT,2019-03-26,0,88,35
325,10000325,GB,2019-03-28,1,26,36
326,10000326,GB,2019-03-25,0,14,8
327,10000327,IT,2019-03-03,0,56,19
328,10000328,GB,2019-03-19,24,8,36
329,10000329,GB,2019-03-13,0,138,27
330,10000330,IT,2019-03-08,0,102,28
331,10000331,SE,2019-04-02,0,22,17
332,10000332,GB,2019-03-24,0,87,21
333,10000333,IT,2019-03-13,0,76,35
334,10000334,GB,2019-03-02,2,3,8
335,10000335,SE,2019-03-11,2,8,19
336,10000336,IT,2019-03-06,0,140,37
337,10000337,SE,2019-03-26,0,25,12
338,10000338,SE,2019-03-30,0,21,36
339,10000339,FR,2019-03-22,0,37,10
340,10000340,IT,2019-03-23,0,21,40
341,10000341,IT,2019-03-08,0,153,21
342,10000342,GB,2019-03-07,2,1,472
343,10000343,IT,2019-04-01,0,30,19
344,10000344,SE,2019-03-11,0,70,24
345,10000345,FR,2019-03-21,0,12,16
346,10000346,SE,2019-03-05,0,367,40
347,10000347,IT,2019-03-05,0,34,43
348,10000348,GB,2019-03-28,0,12,17
349,10000349,GB,2019-03-30,0,47,24
350,10000350,IT,2019-03-18,0,68,30
351,10000351,SE,2019-03-20,0,35,35
352,10000352,IT,2019-03-27,2,18,34
353,10000353,SE,2019-03-06,0,49,39
354,10000354,SE,2019-04-01,0,38,22
355,10000355,IT,2019-03-26,0,85,36
356,10000356,SE,2019-03-08,0,104,40
357,10000357,GB,2019-03-23,0,14,24
358,10000358,IT,2019-03-14,0,2,329
359,10000359,SE,2019-03-12,0,25,32
360,10000360,SE,2019-03-12,12,0,10
361,10000361,SE,2019-04-01,0,60,22
362,10000362,GB,2019-03-09,0,15,22
363,10000363,FR,2019-03-27,0,13,13
364,10000364,FR,2019-03-22,0,18,37
365,10000365,SE,2019-03-31,0,23,28
366,10000366,SE,2019-03-14,0,41,40
367,10000367,GB,2019-03-28,3,8,16
368,10000368,SE,2019-03-20,7,6,38
369,10000369,IT,2019-03-18,0,22,24
370,10000370,SE,2019-03-26,7,4,22
371,10000371,IT,2019-03-11,0,206,19
372,10000372,SE,2019-03-28,0,22,17
373,10000373,IT,2019-03-27,9,50,21
374,10000374,GB,2019-03-25,0,32,36
375,10000375,IT,2019-03-23,0,0,16
376,10000376,GB,2019-03-16,1,212,37
377,10000377,FR,2019-04-01,2,8,22
378,10000378,SE,2019-03-25,0,130,40
379,10000379,ES,2019-03-17,0,17,26
380,10000380,GB,2019-03-25,0,151,32
381,10000381,IT,2019-03-19,3,107,25
382,10000382,IT,2019-03-25,0,43,38
383,10000383,GB,2019-03-17,0,67,34
384,10000384,SE,2019-03-19,0,75,30
385,10000385,IT,2019-03-29,0,18,17
386,10000386,SE,2019-03-24,0,45,24
387,10000387,IT,2019-03-16,0,99,22
388,10000388,IT,2019-03-28,0,32,46
389,10000389,IT,2019-03-15,0,58,30
390,10000390,IT,2019-03-22,0,25,26
391,10000391,IT,2019-03-30,0,23,19
392,10000392,IT,2019-04-02,4,9,39
393,10000393,SE,2019-03-04,0,16,28
394,10000394,GB,2019-03-06,13,44,34
395,10000395,IT,2019-03-26,3,61,32
396,10000396,ES,2019-03-26,1,24,26
397,10000397,IT,2019-03-29,5,63,28
398,10000398,IT,2019-03-24,0,50,20
399,10000399,IT,2019-03-16,2,2,46
400,10000400,SE,2019-03-11,0,191,39
401,10000401,GB,2019-03-23,0,25,24
402,10000402,SE,2019-03-23,0,29,25
403,10000403,GB,2019-03-04,7,1,2
404,10000404,IT,2019-03-19,0,20,15
405,10000405,SE,2019-03-09,5,32,32
406,10000406,ES,2019-03-05,0,0,30
407,10000407,IT,2019-03-05,0,36,20
408,10000408,SE,2019-03-28,16,38,22
409,10000409,GB,2019-03-27,0,28,19
410,10000410,IT,2019-03-27,3,53,30
411,10000411,SE,2019-03-20,0,20,28
412,10000412,IT,2019-03-31,0,1,285
413,10000413,SE,2019-03-23,0,70,26
414,10000414,SE,2019-03-16,0,29,39
415,10000415,IT,2019-03-27,0,37,29
416,10000416,IT,2019-03-21,0,140,13
417,10000417,ES,2019-03-15,0,58,34
418,10000418,FR,2019-03-15,0,11,23
419,10000419,ES,2019-03-28,0,16,37
420,10000420,IT,2019-03-25,0,22,28
421,10000421,IT,2019-03-29,0,59,24
422,10000422,FR,2019-03-09,2,17,28
423,10000423,IT,2019-03-08,0,332,34
424,10000424,IT,2019-03-25,0,50,27
425,10000425,IT,2019-03-09,0,86,33
426,10000426,ES,2019-04-02,0,20,26
427,10000427,IT,2019-03-29,0,27,22
428,10000428,SE,2019-03-15,11,68,25
429,10000429,IT,2019-03-08,40,19,44
430,10000430,IT,2019-04-01,2,12,15
431,10000431,GB,2019-03-13,0,88,38
432,10000432,IT,2019-03-13,3,25,39
433,10000433,SE,2019-03-25,0,164,26
434,10000434,IT,2019-03-20,0,115,42
435,10000435,IT,2019-04-01,0,23,27
436,10000436,IT,2019-03-08,0,138,45
437,10000437,GB,2019-04-01,0,19,26
438,10000438,FR,2019-03-29,45,6,26
439,10000439,IT,2019-03-03,0,23,18
440,10000440,IT,2019-03-27,0,48,35
441,10000441,IT,2019-03-15,0,22,43
442,10000442,GB,2019-03-05,5,2,14
443,10000443,IT,2019-03-27,0,72,30
444,10000444,IT,2019-04-01,0,70,23
445,10000445,SE,2019-03-24,0,30,19
446,10000446,GB,2019-03-11,0,31,22
447,10000447,IT,2019-03-15,0,0,17
448,10000448,IT,2019-03-02,0,49,35
449,10000449,SE,2019-03-21,0,61,19
450,10000450,GB,2019-03-21,14,22,31
451,10000451,IT,2019-03-25,0,31,40
452,10000452,SE,2019-03-25,30,41,22
453,10000453,SE,2019-03-23,0,93,29
454,10000454,SE,2019-04-01,0,19,38
455,10000455,ES,2019-03-23,12,86,33
456,10000456,SE,2019-03-11,1,49,38
457,10000457,GB,2019-03-25,7,3,8
458,10000458,SE,2019-03-17,0,190,38
459,10000459,IT,2019-03-08,9,15,28
460,10000460,FR,2019-03-21,1,103,23
461,10000461,IT,2019-03-14,0,110,38
462,10000462,IT,2019-03-16,0,21,16
463,10000463,IT,2019-03-25,2,102,39
464,10000464,IT,2019-03-28,0,56,15
465,10000465,GB,2019-03-22,0,29,14
466,10000466,SE,2019-03-22,0,63,31
467,10000467,SE,2019-03-11,0,19,29
468,10000468,GB,2019-03-03,0,16,21
469,10000469,IT,2019-03-11,0,0,16
470,10000470,IT,2019-03-06,1,32,32
471,10000471,IT,2019-03-26,0,45,38
472,10000472,IT,2019-03-27,0,34,34
473,10000473,IT,2019-03-06,0,33,27
474,10000474,ES,2019-03-17,0,10,19
475,10000475,IT,2019-03-22,0,109,34
476,10000476,IT,2019-03-12,4,63,39
477,10000477,SE,2019-03-15,0,35,23
478,10000478,SE,2019-03-28,0,98,33
479,10000479,SE,2019-03-12,18,0,2
480,10000480,IT,2019-03-24,0,101,30
481,10000481,SE,2019-03-05,0,15,18
482,10000482,GB,2019-03-31,0,18,2
483,10000483,GB,2019-03-16,9,30,34
484,10000484,IT,2019-03-29,0,24,24
485,10000485,GB,2019-03-31,29,0,13
486,10000486,IT,2019-03-16,0,200,40
487,10000487,IT,2019-03-23,0,19,30
488,10000488,IT,2019-03-28,0,100,24
489,10000489,GB,2019-03-12,10,4,14
490,10000490,SE,2019-03-21,5,32,36
491,10000491,SE,2019-03-19,0,26,24
492,10000492,SE,2019-03-11,0,27,25
493,10000493,GB,2019-03-23,0,25,33
494,10000494,FR,2019-03-25,3,15,33
495,10000495,FR,2019-03-25,9,7,23
496,10000496,IT,2019-03-07,0,37,38
497,10000497,GB,2019-03-06,0,12,25
498,10000498,ES,2019-03-22,0,163,29
499,10000499,GB,2019-03-18,0,129,32
500,10000500,FR,2019-03-24,0,8,19
501,10000501,IT,2019-03-19,0,59,30
502,10000502,SE,2019-03-26,3,18,31
503,10000503,SE,2019-03-12,0,55,32
504,10000504,GB,2019-03-19,0,55,40
505,10000505,ES,2019-03-24,1,71,28
506,10000506,IT,2019-03-06,2,0,7
507,10000507,ES,2019-03-08,1,26,40
508,10000508,SE,2019-03-20,2,13,25
509,10000509,GB,2019-03-09,25,7,12
510,10000510,IT,2019-03-15,0,20,19
511,10000511,FR,2019-03-14,56,21,14
512,10000512,GB,2019-03-26,6,34,31
513,10000513,GB,2019-03-12,2,90,30
514,10000514,FR,2019-03-27,8,1,28
515,10000515,IT,2019-03-07,18,45,42
516,10000516,ES,2019-03-09,0,37,27
517,10000517,IT,2019-03-16,0,0,26
518,10000518,GB,2019-03-27,0,124,35
519,10000519,ES,2019-03-24,0,23,37
520,10000520,IT,2019-04-02,0,0,19
521,10000521,IT,2019-04-01,0,26,39
522,10000522,IT,2019-03-23,2,25,44
523,10000523,IT,2019-03-20,0,36,28
524,10000524,GB,2019-03-26,0,10,11
525,10000525,IT,2019-03-29,0,23,33
526,10000526,IT,2019-04-02,0,32,9
527,10000527,SE,2019-03-12,0,26,20
528,10000528,IT,2019-03-13,0,132,19
529,10000529,IT,2019-03-22,0,125,28
530,10000530,IT,2019-03-29,0,39,23
531,10000531,SE,2019-03-06,0,32,30
532,10000532,IT,2019-03-15,0,146,44
533,10000533,GB,2019-03-03,0,24,21
534,10000534,SE,2019-03-18,79,60,29
535,10000535,FR,2019-04-01,0,10,24
536,10000536,GB,2019-03-21,2,35,25
537,10000537,ES,2019-04-02,0,20,37
538,10000538,IT,2019-03-30,0,37,15
539,10000539,IT,2019-03-20,0,20,29
540,10000540,IT,2019-03-23,12,16,42
541,10000541,GB,2019-03-19,1,23,34
542,10000542,IT,2019-03-14,0,90,31
543,10000543,IT,2019-03-29,0,34,43
544,10000544,SE,2019-03-20,0,30,27
545,10000545,IT,2019-03-19,14,19,36
546,10000546,SE,2019-03-04,0,49,24
547,10000547,IT,2019-03-10,0,0,17
548,10000548,IT,2019-03-29,0,29,44
549,10000549,ES,2019-03-27,2,31,36
550,10000550,ES,2019-03-06,0,219,1
551,10000551,IT,2019-03-27,0,41,33
552,10000552,GB,2019-03-27,0,11,33
553,10000553,IT,2019-03-27,0,30,43
554,10000554,IT,2019-03-14,0,71,36
555,10000555,ES,2019-04-01,0,66,36
556,10000556,IT,2019-03-14,0,162,45
557,10000557,GB,2019-03-19,0,9,25
558,10000558,GB,2019-03-12,0,27,29
559,10000559,IT,2019-03-28,0,36,17
560,10000560,IT,2019-03-05,0,176,42
561,10000561,SE,2019-03-28,0,51,11
562,10000562,GB,2019-03-25,0,29,36
563,10000563,SE,2019-03-16,0,146,18
564,10000564,IT,2019-03-21,0,26,20
565,10000565,FR,2019-03-07,4,39,17
566,10000566,ES,2019-03-31,0,21,30
567,10000567,GB,2019-03-12,0,9,37
568,10000568,IT,2019-03-09,34,27,33
569,10000569,IT,2019-03-17,0,0,21
570,10000570,FR,2019-03-16,0,60,27
571,10000571,IT,2019-04-02,0,20,27
572,10000572,FR,2019-03-11,0,114,38
573,10000573,GB,2019-03-20,5,14,36
574,10000574,IT,2019-03-28,0,19,15
575,10000575,IT,2019-03-03,2,0,22
576,10000576,IT,2019-03-04,0,0,31
577,10000577,ES,2019-03-20,0,62,39
578,10000578,IT,2019-03-07,0,34,24
579,10000579,IT,2019-03-25,0,73,36
580,10000580,IT,2019-03-08,2,1,513
581,10000581,SE,2019-03-14,1,30,39
582,10000582,GB,2019-03-24,0,86,35
583,10000583,SE,2019-03-29,2,8,36
584,10000584,SE,2019-04-01,0,23,28
585,10000585,FR,2019-03-28,3,16,39
586,10000586,SE,2019-03-17,0,82,24
587,10000587,SE,2019-03-02,0,31,19
588,10000588,IT,2019-03-19,0,62,37
589,10000589,GB,2019-03-19,0,65,16
590,10000590,IT,2019-03-20,12,81,46
591,10000591,IT,2019-03-30,0,19,28
592,10000592,SE,2019-03-23,0,15,7
593,10000593,IT,2019-03-16,0,203,27
594,10000594,SE,2019-03-05,0,76,33
595,10000595,IT,2019-03-23,0,63,7
596,10000596,FR,2019-03-29,1,87,38
597,10000597,GB,2019-03-06,2,16,23
598,10000598,SE,2019-04-02,3,0,6
599,10000599,SE,2019-04-02,3,8,35
600,10000600,SE,2019-03-23,0,26,15
601,10000601,IT,2019-03-11,0,29,16
602,10000602,IT,2019-03-20,8,74,29
603,10000603,IT,2019-03-20,0,54,20
604,10000604,IT,2019-03-16,1,33,30
605,10000605,GB,2019-03-12,15,94,34
606,10000606,GB,2019-03-26,19,18,27
607,10000607,IT,2019-03-08,0,200,38
608,10000608,IT,2019-03-06,6,3,12
609,10000609,IT,2019-03-30,0,18,18
610,10000610,IT,2019-03-13,0,41,37
611,10000611,SE,2019-03-17,0,30,14
612,10000612,SE,2019-03-05,96,43,30
613,10000613,GB,2019-03-29,0,21,15
614,10000614,GB,2019-03-20,9,12,25
615,10000615,SE,2019-03-06,2,0,14
616,10000616,IT,2019-03-31,0,96,30
617,10000617,IT,2019-04-02,0,42,34
618,10000618,IT,2019-03-27,0,57,14
619,10000619,FR,2019-03-18,0,37,23
620,10000620,SE,2019-03-06,0,232,20
621,10000621,IT,2019-03-19,1,106,26
622,10000622,GB,2019-03-27,0,88,16
623,10000623,SE,2019-03-26,0,70,21
624,10000624,SE,2019-03-20,4,10,40
625,10000625,SE,2019-03-10,0,15,13
626,10000626,IT,2019-03-21,0,0,22
627,10000627,IT,2019-03-04,0,211,39
628,10000628,GB,2019-03-29,0,20,39
629,10000629,FR,2019-03-13,0,11,38
630,10000630,FR,2019-03-11,0,101,21
631,10000631,GB,2019-03-28,0,25,20
632,10000632,FR,2019-03-25,0,16,10
633,10000633,FR,2019-03-25,0,47,39
